rank,appId,title,url,releaseDate,priceText,finalPriceCents,discountPercent,reviewSummary,reviewPercent,reviewCount,platforms,imageUrl,scrapedAt,currentPlayers,developer,publisher,genres,categories,recommendationsTotal,metacriticScore,shortDescription,isFree,type,demandScore,qualityScore,commercialScore,momentumScore,opportunityScore,marketPosition,opportunityType,pricingPosition,audienceSignal,monetizationSignal,competitiveSignal,intelligenceTags,riskFlags,insightSummary,recommendedAction
441,2881150,ARK: Bob's Tall Tales,https://store.steampowered.com/app/2881150/ARK_Bobs_Tall_Tales/,"Apr 1, 2024",$29.99,2999,0.0,Mixed,49.0,1337.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2881150/d1282b9f18cc86e6a8f97630622a46ccb3b4a435/capsule_231x87.jpg?t=1765684569,2026-06-03T02:00:28.062Z,0.0,,,[],[],,,,,,42,55,60,45,49,Standard competitor,Baseline market data,Mid-market,General Steam audience,Paid upfront,Comparable baseline,[],['weak-player-sentiment'],"ARK: Bob's Tall Tales is a standard competitor, opportunity score 49/100, 49% positive from 1,337 reviews.",Use as baseline competitor data; enrich with reviews for deeper sentiment intelligence.
442,1934680,Age of Mythology: Retold,https://store.steampowered.com/app/1934680/Age_of_Mythology_Retold/,"Sep 4, 2024",$29.99,2999,0.0,Very Positive,90.0,10032.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1934680/296d05f1402b49ef041229b6268fa026b5e627a0/capsule_231x87.jpg?t=1780429786,2026-06-03T02:00:28.062Z,2367.0,,,[],[],,,,,,57,98,60,45,65,Loved niche title,Underserved audience clue,Mid-market,General Steam audience,Paid upfront,Comparable baseline,['loved-by-players'],[],"Age of Mythology: Retold is a loved niche title, opportunity score 65/100, 90% positive from 10,032 reviews, 2,367 current players.",Mine reviews for the exact language players use; niche love often exposes a product angle.
443,3314790,CloverPit,https://store.steampowered.com/app/3314790/CloverPit/,"Sep 26, 2025",$7.99,799,20.0,Very Positive,90.0,11773.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3314790/708aa35adb8f17727284204955531d3ca237b6a4/capsule_231x87.jpg?t=1780064423,2026-06-03T02:00:28.062Z,1137.0,,,[],[],,,,,,56,98,65,45,66,Loved niche title,Underserved audience clue,Budget,General Steam audience,Paid upfront,Comparable baseline,['loved-by-players'],[],"CloverPit is a loved niche title, opportunity score 66/100, 90% positive from 11,773 reviews, 1,137 current players, 20% discount.",Mine reviews for the exact language players use; niche love often exposes a product angle.
444,1372110,JoJo's Bizarre Adventure: All-Star Battle R,https://store.steampowered.com/app/1372110/JoJos_Bizarre_Adventure_AllStar_Battle_R/,"Sep 1, 2022",$9.99,999,80.0,Very Positive,89.0,5343.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1372110/capsule_231x87.jpg?t=1720409046,2026-06-03T02:00:28.062Z,390.0,,,[],[],,,,,,53,96,90,45,70,Commercially aggressive,Pricing/monetization benchmark,Deep discount,General Steam audience,Discount-driven sales,Price pressure - competitor likely using discounts to drive rank,"['loved-by-players', 'aggressive-discounting']",[],"JoJo's Bizarre Adventure: All-Star Battle R is a commercially aggressive, opportunity score 70/100, 89% positive from 5,343 reviews, 390 current players, 80% discount.","Compare discount depth, price tier, and monetization model against similar titles."
445,3008130,Dying Light: The Beast,https://store.steampowered.com/app/3008130/Dying_Light_The_Beast/,"Sep 18, 2025",$59.99,5999,0.0,Very Positive,88.0,25477.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3008130/121bbff32c3e334ffcd3167af007cb8c0513d558/capsule_231x87.jpg?t=1777373421,2026-06-03T02:00:28.062Z,1278.0,,,[],[],,,,,,58,97,50,45,64,Loved niche title,Underserved audience clue,Premium,General Steam audience,Paid upfront,Comparable baseline,['loved-by-players'],[],"Dying Light: The Beast is a loved niche title, opportunity score 64/100, 88% positive from 25,477 reviews, 1,278 current players.",Mine reviews for the exact language players use; niche love often exposes a product angle.
446,4200750,Call of Duty®: Black Ops 7 - BlackCell (Season 03),https://store.steampowered.com/app/4200750/Call_of_Duty_Black_Ops_7__BlackCell_Season_03/,"Apr 2, 2026",$29.99,2999,0.0,Very Positive,84.0,51.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/4200750/00f4cdd0ae23cfd677bc6428cea93aba8d70febb/capsule_231x87.jpg?t=1775146108,2026-06-03T02:00:28.062Z,0.0,,,[],[],,,,,,34,87,60,55,57,Loved niche title,Underserved audience clue,Mid-market,General Steam audience,Paid upfront,Niche love - small but passionate audience,"['loved-by-players', 'fresh-release']",['low-review-confidence'],"Call of Duty®: Black Ops 7 - BlackCell (Season 03) is a loved niche title, opportunity score 57/100, 84% positive from 51 reviews.",Mine reviews for the exact language players use; niche love often exposes a product angle.
447,1757300,Jump Space,https://store.steampowered.com/app/1757300/Jump_Space/,"Sep 19, 2025",$19.99,1999,0.0,Very Positive,87.0,7049.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1757300/92ba31aa006d3acb63712245905368dca84d1e94/capsule_231x87.jpg?t=1779468021,2026-06-03T02:00:28.062Z,447.0,,,[],[],,,,,,53,95,60,45,63,Loved niche title,Underserved audience clue,Mid-market,General Steam audience,Paid upfront,Comparable baseline,['loved-by-players'],[],"Jump Space is a loved niche title, opportunity score 63/100, 87% positive from 7,049 reviews, 447 current players.",Mine reviews for the exact language players use; niche love often exposes a product angle.
448,2830030,MOTORSLICE,https://store.steampowered.com/app/2830030/MOTORSLICE/,"May 5, 2026",$19.99,1999,0.0,Very Positive,86.0,2303.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2830030/capsule_231x87.jpg?t=1778341635,2026-06-03T02:00:28.062Z,174.0,,,[],[],,,,,,50,93,60,55,64,Loved niche title,Underserved audience clue,Mid-market,General Steam audience,Paid upfront,Comparable baseline,"['loved-by-players', 'fresh-release']",[],"MOTORSLICE is a loved niche title, opportunity score 64/100, 86% positive from 2,303 reviews, 174 current players.",Mine reviews for the exact language players use; niche love often exposes a product angle.
449,1826140,RimWorld - Biotech,https://store.steampowered.com/app/1826140/RimWorld__Biotech/,"Oct 21, 2022",$24.99,2499,0.0,Very Positive,93.0,2020.0,"['windows', 'mac', 'linux']",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1826140/0c271719d8e5b0db5083cf321560f73981278ac2/capsule_231x87.jpg?t=1776194265,2026-06-03T02:00:28.062Z,0.0,,,[],[],,,,,,42,100,60,45,61,Loved niche title,Underserved audience clue,Mid-market,General Steam audience,Paid upfront,Niche love - small but passionate audience,['loved-by-players'],[],"RimWorld - Biotech is a loved niche title, opportunity score 61/100, 93% positive from 2,020 reviews.",Mine reviews for the exact language players use; niche love often exposes a product angle.
450,2253100,Everwind,https://store.steampowered.com/app/2253100/Everwind/,"Mar 17, 2026",$24.99,2499,0.0,Very Positive,83.0,1431.0,['windows'],https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2253100/09ec1f97bf4000c563e7738cd726c3e0d5453d31/capsule_231x87.jpg?t=1776347213,2026-06-03T02:00:28.062Z,776.0,,,[],[],,,,,,50,89,60,55,63,Loved niche title,Underserved audience clue,Mid-market,General Steam audience,Paid upfront,Comparable baseline,"['loved-by-players', 'fresh-release']",[],"Everwind is a loved niche title, opportunity score 63/100, 83% positive from 1,431 reviews, 776 current players.",Mine reviews for the exact language players use; niche love often exposes a product angle.
